"","county_id","unemployment_rate","hs_graduation_rate","average_age","state","county","population","male_proportion","female_proportion","white_proportion","black_proportion","american_indian_proportion","asian_proportion","hawaiian_pacific_proportion","interracial_proportion","no_hispanic_proportion","hispanic_proportion","state_legislature","syringe_exchange","num_exchange","immunity_for_possession_of_naloxone_no_script","prescriber_immunity_criminal","poverty_rate"
"1285","05000US27111",0.053,0.777,46.7,"Minnesota","Otter Tail County",57981,50.28543833,49.71456167,95.69859092,1.441851641,0.767492799,0.615718942,0.081061037,1.395284662,96.58853762,3.411462376,"Split","Yes",10,"No","Yes",0.0971870095376071
"1286","05000US13305",0.106,0.76,37.3,"Georgia","Wayne County",29985,51.39569785,48.60430215,76.52159413,20.08004002,0.593630148,0.633650158,0.110055028,2.061030515,93.56011339,6.43988661,"Republican","Yes",1,"No","Yes",0.187860596965149
"1287","05000US26165",0.121,0.79,41.7,"Michigan","Wexford County",33090,49.89724992,50.10275008,96.24055606,0.604412209,0.704140224,0.640676942,0.063463282,1.746751284,98.16863101,1.831368994,"Republican","Yes",4,"Yes","No",0.170172257479601
"1288","05000US18083",0.062,0.804,39.2,"Indiana","Knox County",37542,50.64727505,49.35272495,94.27840818,3.068563209,0.324969368,0.889670236,0.042618933,1.395770071,98.12743061,1.872569389,"Republican","Yes",7,"No","No",0.149965372116563
"1289","05000US22047",0.082,0.59,38.4,"Louisiana","Iberville Parish",32917,50.70632196,49.29367804,49.51848589,48.78330346,0.282528785,0.37974299,0.021265607,1.014673269,97.43293739,2.567062612,"Republican","Yes",3,"Yes","Yes",0.17048941276544
"1290","05000US45087",0.111,0.79,43.5,"South Carolina","Union County",27685,47.58894708,52.41105292,65.85154416,31.80422612,0.299801336,0.339534044,0.057793029,1.647101318,98.59490699,1.405093011,"Republican","Yes",1,"No","Yes",0.202456203720426
"1291","05000US22029",0.1,0.69,38.3,"Louisiana","Concordia Parish",19994,50.78023407,49.21976593,57.98739622,40.23707112,0.415124537,0.390117035,0.020006002,0.950285086,98.54956487,1.450435131,"Republican","Yes",3,"Yes","Yes",0.27998399519856
"1292","05000US18099",0.078,0.89,39.5,"Indiana","Marshall County",46652,49.74706336,50.25293664,96.81042613,0.788819343,0.345108463,0.662351025,0.072880048,1.320414988,90.090457,9.909542999,"Republican","Yes",7,"No","No",0.119909114293064
"1293","05000US06009",0.104,0.936,50.7,"California","Calaveras County",45315,49.89959175,50.10040825,91.8040384,0.889330244,1.840450182,1.549155909,0.260399426,3.656625841,88.32836809,11.67163191,"Democrat","Yes",40,"No","Yes",0.123358711243518
"1294","05000US42061",0.094,0.878,42.5,"Pennsylvania","Huntingdon County",45503,53.00090104,46.99909896,92.42907061,5.557875305,0.145045382,0.615344043,0.015383601,1.237281058,98.08803815,1.911961849,"Republican","Yes",2,"No","Yes",0.122585324044568
