,STNAME,STATE,COUNTY,CTYNAME,GEO,TOT_POP,prop_male,prop_female,prop_white,prop_black,prop_amin,prop_asian,prop_na,prop_two,prop_nohis,prop_his
674,Illinois,17,157,Randolph County,05000US17157,32597,55.44988803,44.55011197,87.2749026,10.7279811,0.276099028,0.414148541,0.07055864,1.23631009,96.86780992,3.132190079
675,Illinois,17,159,Richland County,05000US17159,15858,49.40093328,50.59906672,96.83440535,0.655820406,0.29007441,0.901753058,0.018917896,1.299028881,98.2658595,1.734140497
676,Illinois,17,161,Rock Island County,05000US17161,145472,49.32014408,50.67985592,83.37961945,10.66940717,0.577430708,2.566129564,0.043994721,2.76341839,87.29102508,12.70897492
677,Illinois,17,163,St. Clair County,05000US17163,263120,48.30609608,51.69390392,65.42072058,30.41425965,0.353070842,1.367816966,0.096913956,2.347217999,96.01892673,3.981073275
678,Illinois,17,165,Saline County,05000US17165,24253,49.32173339,50.67826661,92.89984744,3.921164392,0.449428937,0.659712201,0.082464025,1.987383004,98.21877706,1.781222941
679,Illinois,17,167,Sangamon County,05000US17167,197591,48.02394846,51.97605154,82.49515413,12.80523911,0.260133306,1.990475275,0.032896235,2.416101948,97.72864149,2.271358513
680,Illinois,17,169,Schuyler County,05000US17169,7053,52.44576776,47.55423224,95.03757266,3.856514958,0.170140366,0.340280732,0,0.59549128,97.97249397,2.027506026
681,Illinois,17,171,Scott County,05000US17171,5055,48.86251236,51.13748764,98.16023739,0.415430267,0.276953511,0.21760633,0,0.929772502,98.87240356,1.127596439
682,Illinois,17,173,Shelby County,05000US17173,21727,49.64330096,50.35669904,98.15897271,0.414231141,0.220923275,0.36360289,0.036820546,0.805449441,98.95061444,1.049385557
683,Illinois,17,175,Stark County,05000US17175,5506,49.34616782,50.65383218,97.07591718,0.744642208,0.254268071,0.454050127,0,1.471122412,98.51071558,1.489284417
